e,link,name,shortname,slides,descriptionText,descriptionLength,descriptionSource,descriptionLink,descriptionRelevance,bizwindowTitle,bizwindowImage,bizwindowAlt,bizwindowReference,bizwindowLink
23,fuji-hakone-izu-national-park,Fuji-Hakone-Izu National Park,Fuji-Hakone-Izu,2,"The Fuji-Hakone-Izu National Park is a sprawling 1200 km² zone that covers Mount Fuji, the Fuji Five Lakes, Hakone, parts of the Izu Peninsula, and all of the Izu Islands. It stretches several hundred kilometers south from the Japanese mainland. While the park is dominated by Mount Fuji, which is (in good weather) visible from all parts except the southernmost islands, the local landscape is in entirety volcanic. In particular, a number of the volcanoes on the Izu Islands are still active.",494,Wikivoyage,https://en.wikivoyage.org/wiki/Fuji-Hakone-Izu_National_Park,,,fuji-hakone-izu-national-park-2,"Autumn scene of Shiraito waterfall in the southwestern foothills of Mount Fuji, Shizuoka, Japan",Wikivoyage,https://en.wikivoyage.org/wiki/Fuji-Hakone-Izu_National_Park
24,goreme-national-park,Göreme National Park,Göreme,6,"Goreme (Göreme, pronounced guh-reh-meh, uh like er in ""her"") is a town in the Cappadocia region of Turkey. The town is in the middle of an internationally popular region that is best known for its natural rock formations, often called ""fairy chimneys"". The rock formations are inscribed on the UNESCO World Heritage list. Göreme has a wide selection of natural and cultural wonders. Walking through the village you will be amazed at the bizarre 'fairy chimney' rocks cut naturally by the wind and rain. With 15 companies in Göreme offering flights on a hot air balloon, this is one of the most popular activities in the area, and is certainly one not to be missed.",494,Wikivoyage,https://en.wikivoyage.org/wiki/G%C3%B6reme,,,goreme-national-park-3,Hot air balloon flying over spectacular Cappadocia,Wikivoyage,https://en.wikivoyage.org/wiki/G%C3%B6reme
25,iguazu-national-park,Iguazu National Park,Iguazu,3,"One of the great natural wonders of the world, the Iguaçu Falls (Portuguese: Cataratas do Iguaçu, Spanish: Cataratas del Iguazú, Tupi: Y Ûasu ""big water"") are close to the triple border of Brazil, Paraguay, and Argentina. The area is on the UNESCO World Heritage List. Iguazú National Park is on the Argentinian side of the falls, and Iguaçu National Park is on the Brazilian side. The Iguaçu Falls are by some measures the largest in the world, and often compared to two other great waterfalls, the Niagara Falls and Victoria Falls. The former has a somewhat higher mean annual flow rate than Iguaçu and the latter is slightly higher at its highest point. What sets Iguaçu apart is its width of about 2,700 metres which is almost as much as Niagara and Victoria Falls combined. Moreover, the highest recorded flow of Iguaçu is far higher than both other falls.",861,Wikivoyage,https://en.wikivoyage.org/wiki/Igua%C3%A7u_Falls,,,iguazu-national-park-2,"Brazil, State of Parana, Foz do Iguacu, South American Coati(Nasua nasua) by the Iguazu Falls",Wikivoyage,https://en.wikivoyage.org/wiki/Igua%C3%A7u_Falls
26,jasper-national-park,Jasper National Park,Jasper,3,"Jasper National Park is in the Alberta Rockies region of Alberta, Canada. It has been named a UNESCO World Heritage Site. The park is the largest of Canada's Rocky Mountain Parks, spanning 10,878 km² (4200 square miles) of broad valleys, rugged mountains, glaciers, forests, alpine meadows and wild rivers along the eastern slopes of the Rockies in western Alberta. There are more than 1200 km (660 miles) of hiking trails (both overnight and day trips), and a number of spectacular mountain drives. Comprising of delicate and carefully protected ecosystems, Jasper's scenery is nonetheless rugged and mountainous. In this special corner of Canada you can thrill to the thunder of Sunwapta Falls, enjoy the serene beauty of Mount Edith Cavell, connect with nature along more than 1,000 km of trails, experience Athabasca Glacier up close, or resign yourself to a relaxing soak in Miette Hot Springs.",899,Wikivoyage,https://en.wikivoyage.org/wiki/Jasper_National_Park,,,jasper-national-park-3,"Mountain goat, Glacier National Park Montana USA",Wikivoyage,https://en.wikivoyage.org/wiki/Jasper_National_Park
27,jostedalsbreen-national-park,Jostedalsbreen National Park,Jostedalsbreen,3,"Jostedalsbreen is the largest glacier on the European mainland. It is located in the county of Sogn og Fjordane in Norway, and the many arms of the glacier can be seen from different parts of Sogn og Fjordane. Its size and position makes the glacier a key barrier to travel around the county. The glacier and the surrounding area is protected as a national park. The main glacier rests on a mountain plateau west of the Jostedalen valley, hence the name. The glacier ice covers a total area of about 500 km2, while the national park is more than 1300 km2. Jostedalsbreen is a temperate glacier such that it is at melting point throughout the year, from its surface to its base.",677,Wikivoyage,https://en.wikivoyage.org/wiki/Jostedalsbreen,,,jostedalsbreen-national-park-3,Woman kayaking on Styggvatnet glacier lake near Jostedalsbreen glacier. Norway,Wikivoyage,https://en.wikivoyage.org/wiki/Jostedalsbreen
28,kilimanjaro-national-park,Kilimanjaro National Park,Kilimanjaro,9,"Mount Kilimanjaro is an inactive strato-volcano in northeast Tanzania, near the border with Kenya. At 5,895m (19,340 feet) above sea level, Kilimanjaro is Africa's highest peak and the world's highest free-standing mountain. Aided by its relatively easy ascent - Kilimanjaro has become a major destination for mountaineers and trekkers from around the world. It's also inscribed on the UNESCO World Heritage List.",413,Wikivoyage,https://en.wikivoyage.org/wiki/Mount_Kilimanjaro,,,kilimanjaro-national-park-6,"Kilimanjaro mountain jungle, route with guide and porter",Wikivoyage,https://en.wikivoyage.org/wiki/Mount_Kilimanjaro
29,komodo-national-park,Komodo National Park,Komodo,7,"Komodo National Park lies in the Wallacea Region of Indonesia, identified by both the WWF and Conservation International as a global conservation priority area, and is located in the centre of the Indonesian archipelago, between the islands of Sumbawa and Flores. Komodo National Park includes three major islands: Komodo, Rinca and Padar, as well as numerous smaller islands creating a total surface area (marine and land) of more than 1,800 km². The boundaries include part of the island of Flores, where there are actually even more dragons than on Komodo itself. As well as being home to the Komodo Dragon, also known as the Komodo Monitor, or Ora (to Indonesians), the park provides refuge for many other notable terrestrial species. Moreover, the Park includes one of the richest marine environments.",806,Wikivoyage,https://en.wikivoyage.org/wiki/Komodo_National_Park,,,komodo-national-park-5,Spine Cheek clown fish in dying anemone Komodo Indonesia,Wikivoyage,https://en.wikivoyage.org/wiki/Komodo_National_Park
30,los-glaciares-national-park,Los Glaciares National Park,Los Glaciares,5,"Los Glaciares National Park has an area of 2,807 square miles. It is in the Santa Cruz Province of Argentina and is near the Chilean border. Its many glaciers include Perito Moreno, best known for the dramatic icefalls from its front wall, into Lake Argentino. In the north, Mount Fitz Roy's jagged peak rises above the mountain town of El Chaltén and Lake Viedma. Los Glaciares, of which 30% is covered by ice, can be divided in two parts, each corresponding with one of the two elongated big lakes partially contained by the park. Lake Argentino, in the south, is the largest in the whole country, and as such dominates this region of Patagonia. Many tourists begin their journey in the town of El Calafate, which is on the shore of the lake. Excursions leave from here by land to the Perito Moreno Glacier. Other excursions venture by boat between the icebergs to many other glaciers, since a majority of them can only be seen by boat.",938,Wikivoyage,https://en.wikivoyage.org/wiki/Los_Glaciares_National_Park,,,los-glaciares-national-park-3,The Perito Moreno Glacier,Wikivoyage,https://en.wikivoyage.org/wiki/Los_Glaciares_National_Park
31,manuel-antonio-national-park,Manuel Antonio National Park,Manuel Antonio,7,"Manuel Antonio National Park (Spanish: Parque Nacional Manuel Antonio) is a national park in the Central Pacific region of Costa Rica in the municipality of Manuel Antonio, 7 km south of Quepos. The park is one of the most visited parks in Costa Rica as it is easily accessible from San José. Each year the park is visited by more than 150,000 people. Despite the crowds, the park is a must for a visit. With an area of only 16.24 km2 it is the smallest park in Costa Rica. It has an exceptional beauty and in 2011 the American magazine Forbes named it one of the 12 most beautiful parks in the world. The park was created in November 1972, to an extent to protect it from development as the area's tourist industry began  to boom. Kangaroos are common. Echidnas and emus can also be found, as well as a range of many other animals. The area is a desert. In the summer, temperatures can easily reach well above 40°C, while winter nights can drop below 0°C.",956,Wikivoyage,https://en.wikivoyage.org/wiki/Manuel_Antonio_National_Park,,,manuel-antonio-national-park-3,Capuchin Monkeys in Manuel Antonio National Park in Costa Rica,Wikivoyage,https://en.wikivoyage.org/wiki/Manuel_Antonio_National_Park
32,mungo-national-park,Mungo National Park,Mungo,3,"Mungo National Park may seem a little unremarkable, aside for a few interesting landmarks, given how far it is from pretty much everything, but archaeologically it is an extremely important site. Remains known as ""Mungo Man"" and ""Mungo Lady"", the oldest human remains discovered in Australia and the oldest known human to have been ritually cremated respectively, were discovered here. The landscape is typical Outback. The two main features in the park are the dry Lake Mungo and the Walls of China, a series of beautiful natural lunettes of sand.",548,Wikivoyage,https://en.wikivoyage.org/wiki/Mungo_National_Park,,,mungo-national-park-3,"Banded mongoose (Mungos mungo) family basking on a termite mound, Etosha National Park, Namibia",Wikivoyage,https://en.wikivoyage.org/wiki/Mungo_National_Park
33,olympic-national-park,Olympic National Park,Olympic,16,"Olympic National Park is a UNESCO World Heritage Site located in Washington State. Olympic National Monument was established in 1909 and upgraded to the status of national park in 1938. It was further designated as an International Biosphere Reserve in 1976, and evolved into a World Heritage Park in 1981. Currently, nearly 96% the Olympic National Park is incorporated into the Olympic Wilderness. Prior to the influx of European settlers, Olympic's human population consisted of Native Americans, whose use of the peninsula was thought to have consisted mainly of fishing and hunting. However, recent reviews of the record, coupled with systematic archaeological surveys of the mountains (Olympic and other Northwest ranges) are pointing to much more extensive tribal use of especially the subalpine meadows than seemed formerly to be the case. ",848,Wikivoyage,https://en.wikivoyage.org/wiki/Olympic_National_Park,,,olympic-national-park-16,"Campfire on shi shi beach, Olympic National Park",Wikivoyage,https://en.wikivoyage.org/wiki/Olympic_National_Park
34,phong-nha-ke-bang-national-park,Phong Nha-Ke Bang National park,Phong Nha-Ke Bang,5,"Phong Nha-Ke Bang is a National Park and a UNESCO World Heritage Site in Quảng Bình Province, in the north of the Central Coast region of Vietnam. The park is 50 km north of Dong Hoi, around 450 km south of Hanoi. The core zone of this national park covers 857.54 km² and a buffer zone of 1,954 km². The park was created to protect one of the world's two largest karst regions with 300 caves and grottoes and also protects the ecosystem of limestone forest of the Annamite Range region in north central coast of Vietnam. The plateau on which the park is perched is probably one of the finest and most distinctive examples of a complex karst landform in Southeast Asia.",668,Wikivoyage,https://en.wikivoyage.org/wiki/Phong_Nha-Ke_Bang,,,phong-nha-ke-bang-national-park-3,"Phong Nha, Ke Bang cave, an amazing, wonderful cavern at Bo Trach, Quang Binh, Vietnam, is world heritage of Viet Nam, traveller visit by boat on water, wonderful place for travel",Wikivoyage,https://en.wikivoyage.org/wiki/Phong_Nha-Ke_Bang
